id,experiment_id,campaign_name,roi,cac,cpl,ctr,conversion_rate,impressions,clicks,leads,channel_performance,audience_segments,predicted_roi
c5b1ac44-4b36-4e44-9632-78196ebbe59c,e735e924-f043-425e-b1a0-149ecd44b4c3,Reativação,5.81,176.66,33.55,0.0278,0.0695,435584,4944,1186,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",3.04
6a80833c-1880-4996-adbf-dc187268465d,cb785ad2-5018-47c3-afb2-b24872f269bd,Reativação,4.05,90.32,19.01,0.0298,0.0742,81669,11155,980,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",3.48
7b99f461-3ae7-45d6-86bd-9911181e6d4f,74a2cea8-cd3a-46d2-b6d6-6fa439217c62,Natal,2.57,236.07,20.74,0.0326,0.075,239519,12437,234,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",6.42
22306861-cab9-4045-8078-02186f556e7a,7e118648-e3c8-488d-af18-77c94a902b8f,Reativação,4.98,235.55,46.23,0.03,0.0658,214351,9944,489,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",4.37
f3166f4c-2372-41f2-b9df-8bf7fd2d59ef,2f9f3d44-d446-4c38-8c31-41d9c0c0f987,Natal,5.06,165.41,75.02,0.0404,0.0783,293072,8608,1026,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",3.92
d26f76de-0343-4ccc-b222-5cb033a7c618,d14b78e8-a3ee-4c20-94be-94c13260fa29,Natal,4.81,56.12,24.06,0.0245,0.0794,381451,3447,918,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",5.19
bbf44f28-d3a2-46ef-b318-df23a624b013,f6808239-f767-417b-acbb-3530a4ac486e,Lançamento,3.33,286.51,29.1,0.0155,0.0483,192024,6526,505,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",3.13
375e3788-0d6e-427e-bf90-c13d2e911fe9,6c18c402-d2a4-48cd-b1ed-5e800c74d54b,Reativação,3.75,171.63,62.04,0.028,0.0768,133792,8984,222,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",5.12
02b336fc-d937-48ed-a634-63f69b4ee0c6,eeb62b2a-1025-4831-bdf6-952ad1a458a8,Natal,5.84,85.37,48.72,0.0298,0.033,307166,1212,730,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",6.79
f954981f-31d7-4c15-886b-2e501fd750ca,d412645b-5237-46d1-b61d-3fc81c382a72,Black Friday,5.8,182.41,37.17,0.0262,0.0613,117178,7054,1069,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",3.38
