id,experiment_id,period,total_sales,predicted_sales,growth_rate,conversion_rate,avg_ticket,top_products,sales_by_region,sales_trend,seasonality_index
3882dc93-ed4e-4440-82bf-b89d9776c011,ea647509-0e5d-4450-b65f-7c15d1665d21,monthly,1661866.49,1505281.82,0.0602,0.033,508.6,"[{""name"": ""Product 0"", ""sales"": 91083}, {""name"": ""Product 1"", ""sales"": 150739}, {""name"": ""Product 2"", ""sales"": 185659}, {""name"": ""Product 3"", ""sales"": 163189}, {""name"": ""Product 4"", ""sales"": 97268}]","{""Sul"": 350000, ""Sudeste"": 850000, ""Nordeste"": 420000, ""Norte"": 180000, ""Centro-Oeste"": 200000}","[{""month"": 0, ""value"": 50000.0}, {""month"": 1, ""value"": 51500.0}, {""month"": 2, ""value"": 53000.0}, {""month"": 3, ""value"": 54500.0}, {""month"": 4, ""value"": 56000.0}, {""month"": 5, ""value"": 57500.0}, {""month"": 6, ""value"": 59000.0}, {""month"": 7, ""value"": 60500.0}, {""month"": 8, ""value"": 62000.0}, {""month"": 9, ""value"": 63500.0}, {""month"": 10, ""value"": 65000.0}, {""month"": 11, ""value"": 66500.0}]","[1.2, 0.9, 0.95, 1.0, 1.8, 1.6, 1.0, 1.7, 1.1, 1.1, 2.5, 2.2]"
b1a3d59a-379d-4ec7-ac89-9c668e324169,cb785ad2-5018-47c3-afb2-b24872f269bd,monthly,1914798.92,557659.93,0.0913,0.054,262.02,"[{""name"": ""Product 0"", ""sales"": 197682}, {""name"": ""Product 1"", ""sales"": 90856}, {""name"": ""Product 2"", ""sales"": 155349}, {""name"": ""Product 3"", ""sales"": 101854}, {""name"": ""Product 4"", ""sales"": 89500}]","{""Sul"": 350000, ""Sudeste"": 850000, ""Nordeste"": 420000, ""Norte"": 180000, ""Centro-Oeste"": 200000}","[{""month"": 0, ""value"": 50000.0}, {""month"": 1, ""value"": 51500.0}, {""month"": 2, ""value"": 53000.0}, {""month"": 3, ""value"": 54500.0}, {""month"": 4, ""value"": 56000.0}, {""month"": 5, ""value"": 57500.0}, {""month"": 6, ""value"": 59000.0}, {""month"": 7, ""value"": 60500.0}, {""month"": 8, ""value"": 62000.0}, {""month"": 9, ""value"": 63500.0}, {""month"": 10, ""value"": 65000.0}, {""month"": 11, ""value"": 66500.0}]","[1.2, 0.9, 0.95, 1.0, 1.8, 1.6, 1.0, 1.7, 1.1, 1.1, 2.5, 2.2]"
5a5669a3-a451-4851-8785-dc57ee13606f,ef7890d7-7066-48ae-b297-c0b5dc6dbc3e,monthly,1116934.6,1260356.03,0.2236,0.0278,755.31,"[{""name"": ""Product 0"", ""sales"": 132893}, {""name"": ""Product 1"", ""sales"": 189090}, {""name"": ""Product 2"", ""sales"": 59254}, {""name"": ""Product 3"", ""sales"": 75444}, {""name"": ""Product 4"", ""sales"": 67133}]","{""Sul"": 350000, ""Sudeste"": 850000, ""Nordeste"": 420000, ""Norte"": 180000, ""Centro-Oeste"": 200000}","[{""month"": 0, ""value"": 50000.0}, {""month"": 1, ""value"": 51500.0}, {""month"": 2, ""value"": 53000.0}, {""month"": 3, ""value"": 54500.0}, {""month"": 4, ""value"": 56000.0}, {""month"": 5, ""value"": 57500.0}, {""month"": 6, ""value"": 59000.0}, {""month"": 7, ""value"": 60500.0}, {""month"": 8, ""value"": 62000.0}, {""month"": 9, ""value"": 63500.0}, {""month"": 10, ""value"": 65000.0}, {""month"": 11, ""value"": 66500.0}]","[1.2, 0.9, 0.95, 1.0, 1.8, 1.6, 1.0, 1.7, 1.1, 1.1, 2.5, 2.2]"
8e8ca852-c987-4ad8-92d3-1ac289b5533f,d14b78e8-a3ee-4c20-94be-94c13260fa29,monthly,628625.09,533696.52,0.2224,0.0232,704.19,"[{""name"": ""Product 0"", ""sales"": 132128}, {""name"": ""Product 1"", ""sales"": 143505}, {""name"": ""Product 2"", ""sales"": 103217}, {""name"": ""Product 3"", ""sales"": 89479}, {""name"": ""Product 4"", ""sales"": 105839}]","{""Sul"": 350000, ""Sudeste"": 850000, ""Nordeste"": 420000, ""Norte"": 180000, ""Centro-Oeste"": 200000}","[{""month"": 0, ""value"": 50000.0}, {""month"": 1, ""value"": 51500.0}, {""month"": 2, ""value"": 53000.0}, {""month"": 3, ""value"": 54500.0}, {""month"": 4, ""value"": 56000.0}, {""month"": 5, ""value"": 57500.0}, {""month"": 6, ""value"": 59000.0}, {""month"": 7, ""value"": 60500.0}, {""month"": 8, ""value"": 62000.0}, {""month"": 9, ""value"": 63500.0}, {""month"": 10, ""value"": 65000.0}, {""month"": 11, ""value"": 66500.0}]","[1.2, 0.9, 0.95, 1.0, 1.8, 1.6, 1.0, 1.7, 1.1, 1.1, 2.5, 2.2]"
b2a2db3a-b2fb-49a8-b408-d3a8913d2147,3a0f035f-3bb8-4847-9cc6-6d6b3503fb7d,monthly,961342.77,624316.47,0.1746,0.0389,737.93,"[{""name"": ""Product 0"", ""sales"": 167077}, {""name"": ""Product 1"", ""sales"": 174541}, {""name"": ""Product 2"", ""sales"": 138767}, {""name"": ""Product 3"", ""sales"": 95932}, {""name"": ""Product 4"", ""sales"": 125953}]","{""Sul"": 350000, ""Sudeste"": 850000, ""Nordeste"": 420000, ""Norte"": 180000, ""Centro-Oeste"": 200000}","[{""month"": 0, ""value"": 50000.0}, {""month"": 1, ""value"": 51500.0}, {""month"": 2, ""value"": 53000.0}, {""month"": 3, ""value"": 54500.0}, {""month"": 4, ""value"": 56000.0}, {""month"": 5, ""value"": 57500.0}, {""month"": 6, ""value"": 59000.0}, {""month"": 7, ""value"": 60500.0}, {""month"": 8, ""value"": 62000.0}, {""month"": 9, ""value"": 63500.0}, {""month"": 10, ""value"": 65000.0}, {""month"": 11, ""value"": 66500.0}]","[1.2, 0.9, 0.95, 1.0, 1.8, 1.6, 1.0, 1.7, 1.1, 1.1, 2.5, 2.2]"
92ed3f5d-bb22-45db-84b1-310091d365ed,6c18c402-d2a4-48cd-b1ed-5e800c74d54b,monthly,954860.72,1787690.77,0.082,0.0728,256.12,"[{""name"": ""Product 0"", ""sales"": 81048}, {""name"": ""Product 1"", ""sales"": 189540}, {""name"": ""Product 2"", ""sales"": 157395}, {""name"": ""Product 3"", ""sales"": 91492}, {""name"": ""Product 4"", ""sales"": 197236}]","{""Sul"": 350000, ""Sudeste"": 850000, ""Nordeste"": 420000, ""Norte"": 180000, ""Centro-Oeste"": 200000}","[{""month"": 0, ""value"": 50000.0}, {""month"": 1, ""value"": 51500.0}, {""month"": 2, ""value"": 53000.0}, {""month"": 3, ""value"": 54500.0}, {""month"": 4, ""value"": 56000.0}, {""month"": 5, ""value"": 57500.0}, {""month"": 6, ""value"": 59000.0}, {""month"": 7, ""value"": 60500.0}, {""month"": 8, ""value"": 62000.0}, {""month"": 9, ""value"": 63500.0}, {""month"": 10, ""value"": 65000.0}, {""month"": 11, ""value"": 66500.0}]","[1.2, 0.9, 0.95, 1.0, 1.8, 1.6, 1.0, 1.7, 1.1, 1.1, 2.5, 2.2]"
2364566e-9744-47f6-a067-930ba5a5654c,545683bf-57a0-46f0-96ae-ee396b5299de,monthly,1328481.81,1261916.93,0.2467,0.0614,737.37,"[{""name"": ""Product 0"", ""sales"": 79716}, {""name"": ""Product 1"", ""sales"": 88442}, {""name"": ""Product 2"", ""sales"": 166628}, {""name"": ""Product 3"", ""sales"": 75446}, {""name"": ""Product 4"", ""sales"": 60322}]","{""Sul"": 350000, ""Sudeste"": 850000, ""Nordeste"": 420000, ""Norte"": 180000, ""Centro-Oeste"": 200000}","[{""month"": 0, ""value"": 50000.0}, {""month"": 1, ""value"": 51500.0}, {""month"": 2, ""value"": 53000.0}, {""month"": 3, ""value"": 54500.0}, {""month"": 4, ""value"": 56000.0}, {""month"": 5, ""value"": 57500.0}, {""month"": 6, ""value"": 59000.0}, {""month"": 7, ""value"": 60500.0}, {""month"": 8, ""value"": 62000.0}, {""month"": 9, ""value"": 63500.0}, {""month"": 10, ""value"": 65000.0}, {""month"": 11, ""value"": 66500.0}]","[1.2, 0.9, 0.95, 1.0, 1.8, 1.6, 1.0, 1.7, 1.1, 1.1, 2.5, 2.2]"
61579d89-e407-4f42-946d-37eef7d59b50,d412645b-5237-46d1-b61d-3fc81c382a72,monthly,703398.11,1121899.65,0.1259,0.0302,162.97,"[{""name"": ""Product 0"", ""sales"": 144996}, {""name"": ""Product 1"", ""sales"": 165588}, {""name"": ""Product 2"", ""sales"": 199922}, {""name"": ""Product 3"", ""sales"": 97666}, {""name"": ""Product 4"", ""sales"": 167265}]","{""Sul"": 350000, ""Sudeste"": 850000, ""Nordeste"": 420000, ""Norte"": 180000, ""Centro-Oeste"": 200000}","[{""month"": 0, ""value"": 50000.0}, {""month"": 1, ""value"": 51500.0}, {""month"": 2, ""value"": 53000.0}, {""month"": 3, ""value"": 54500.0}, {""month"": 4, ""value"": 56000.0}, {""month"": 5, ""value"": 57500.0}, {""month"": 6, ""value"": 59000.0}, {""month"": 7, ""value"": 60500.0}, {""month"": 8, ""value"": 62000.0}, {""month"": 9, ""value"": 63500.0}, {""month"": 10, ""value"": 65000.0}, {""month"": 11, ""value"": 66500.0}]","[1.2, 0.9, 0.95, 1.0, 1.8, 1.6, 1.0, 1.7, 1.1, 1.1, 2.5, 2.2]"
1ffce48a-09a3-489c-a2fc-c81401c777ef,0d7c8f71-eb44-4985-9544-e0062fe27738,monthly,1840982.06,2053068.8,0.2393,0.054,725.64,"[{""name"": ""Product 0"", ""sales"": 72284}, {""name"": ""Product 1"", ""sales"": 146984}, {""name"": ""Product 2"", ""sales"": 68059}, {""name"": ""Product 3"", ""sales"": 96461}, {""name"": ""Product 4"", ""sales"": 85374}]","{""Sul"": 350000, ""Sudeste"": 850000, ""Nordeste"": 420000, ""Norte"": 180000, ""Centro-Oeste"": 200000}","[{""month"": 0, ""value"": 50000.0}, {""month"": 1, ""value"": 51500.0}, {""month"": 2, ""value"": 53000.0}, {""month"": 3, ""value"": 54500.0}, {""month"": 4, ""value"": 56000.0}, {""month"": 5, ""value"": 57500.0}, {""month"": 6, ""value"": 59000.0}, {""month"": 7, ""value"": 60500.0}, {""month"": 8, ""value"": 62000.0}, {""month"": 9, ""value"": 63500.0}, {""month"": 10, ""value"": 65000.0}, {""month"": 11, ""value"": 66500.0}]","[1.2, 0.9, 0.95, 1.0, 1.8, 1.6, 1.0, 1.7, 1.1, 1.1, 2.5, 2.2]"
4354692a-a741-4088-b4ed-30abff947d0a,4d1ff1ce-8b6e-4cf6-8c67-717ba332d72d,monthly,1436046.65,1590249.59,0.2334,0.0267,757.77,"[{""name"": ""Product 0"", ""sales"": 101676}, {""name"": ""Product 1"", ""sales"": 134069}, {""name"": ""Product 2"", ""sales"": 126637}, {""name"": ""Product 3"", ""sales"": 71777}, {""name"": ""Product 4"", ""sales"": 142985}]","{""Sul"": 350000, ""Sudeste"": 850000, ""Nordeste"": 420000, ""Norte"": 180000, ""Centro-Oeste"": 200000}","[{""month"": 0, ""value"": 50000.0}, {""month"": 1, ""value"": 51500.0}, {""month"": 2, ""value"": 53000.0}, {""month"": 3, ""value"": 54500.0}, {""month"": 4, ""value"": 56000.0}, {""month"": 5, ""value"": 57500.0}, {""month"": 6, ""value"": 59000.0}, {""month"": 7, ""value"": 60500.0}, {""month"": 8, ""value"": 62000.0}, {""month"": 9, ""value"": 63500.0}, {""month"": 10, ""value"": 65000.0}, {""month"": 11, ""value"": 66500.0}]","[1.2, 0.9, 0.95, 1.0, 1.8, 1.6, 1.0, 1.7, 1.1, 1.1, 2.5, 2.2]"
