id,customer_id,tenant_id,channel,interaction_type,campaign_id,session_id,device_type,content_summary,metadata,utm_source,utm_medium,utm_campaign,utm_content,referrer,created_at
1,e23b60a3-db63-494b-ade7-e51cf1875aaa,226,facebook,view,10.0,eca48880-00b9-4279-a6fe-9edc33eca6c9,desktop,Voluptates quia nisi nobis beatae culpa.,"{""product_id"": 21, ""duration"": 98}",facebook,cpc,black_friday,ad1,http://pereira.com/,2025-11-25 10:50:49.065895
2,e23b60a3-db63-494b-ade7-e51cf1875aaa,226,whatsapp,message,,e234b769-66e6-4698-9903-cb7fb2454037,desktop,Assumenda temporibus voluptate tempora fugit doloribus placeat.,"{""product_id"": 2, ""duration"": 150}",instagram,social,launch,ad2,,2025-10-11 09:50:49.065930
3,e23b60a3-db63-494b-ade7-e51cf1875aaa,226,email,view,2.0,e68e138f-3591-4480-b2a1-485d097d1599,mobile,Doloremque facilis non.,"{""product_id"": 41, ""duration"": 203}",direct,email,launch,banner,,2025-11-26 10:50:49.065955
4,e23b60a3-db63-494b-ade7-e51cf1875aaa,226,whatsapp,share,,97c4ee0a-9d06-4a1e-aeaf-521f0485dfdc,desktop,Est fuga tempora.,"{""product_id"": 31, ""duration"": 32}",google,organic,black_friday,ad1,,2025-10-26 19:50:49.065975
5,e23b60a3-db63-494b-ade7-e51cf1875aaa,226,website,message,,2eed2cf9-28bc-4004-b871-2189793bc97b,tablet,Sequi expedita voluptatem.,"{""product_id"": 77, ""duration"": 257}",direct,email,summer,ad1,,2025-10-16 02:50:49.065994
6,e23b60a3-db63-494b-ade7-e51cf1875aaa,226,email,message,3.0,c4168506-3208-48d8-ae82-9021009ebb21,desktop,Mollitia hic esse voluptate magni.,"{""product_id"": 94, ""duration"": 65}",google,cpc,launch,ad2,https://mendonca.com/,2025-12-06 05:50:49.066036
7,e23b60a3-db63-494b-ade7-e51cf1875aaa,226,email,share,4.0,3694941b-3ee0-472a-bb55-a0d23ea83168,desktop,Ex perspiciatis nam nobis voluptates error.,"{""product_id"": 53, ""duration"": 83}",google,email,black_friday,ad2,,2025-11-17 12:50:49.066057
8,e23b60a3-db63-494b-ade7-e51cf1875aaa,226,email,view,5.0,44c377a4-364c-4b78-a1c9-264c9f74f56e,desktop,Corporis repellat blanditiis debitis nam.,"{""product_id"": 15, ""duration"": 268}",facebook,social,black_friday,ad2,,2025-12-01 10:50:49.066085
9,e23b60a3-db63-494b-ade7-e51cf1875aaa,226,email,view,,4c887cf6-c3a7-4f81-8a43-8ac89b6cae79,mobile,Consequuntur doloremque sit incidunt provident.,"{""product_id"": 30, ""duration"": 13}",instagram,email,summer,ad2,,2025-11-24 08:50:49.066112
10,e23b60a3-db63-494b-ade7-e51cf1875aaa,226,instagram,message,,7e129e5f-0c2b-46ab-b169-b225dcafdc64,mobile,Voluptate omnis ipsum incidunt voluptatem illo optio.,"{""product_id"": 75, ""duration"": 197}",google,organic,launch,ad1,,2025-11-21 00:50:49.066141
