id,customer_id,tenant_id,journey_type,journey_name,current_step,total_steps,status,next_action_channel,next_action_type,next_action_content,next_action_at,response_rate,engagement_score,trigger_data,started_at,completed_at
1,e23b60a3-db63-494b-ade7-e51cf1875aaa,226,abandoned_cart,Recuperação de Carrinho,2,3,active,email,send_sms,Qui et doloremque dolor.,2025-12-10 00:50:49.176919,0.17,0.43,"{""cart_value"": 152.07, ""items_count"": 5}",2025-11-23 13:50:49.176967,
2,80d9e10b-bc2f-4e6a-ac30-b833c9e8c1fa,226,upsell,Upsell,3,3,paused,sms,send_whatsapp,Laudantium eligendi rem exercitationem vero nesciunt adipisci.,2025-12-09 11:50:49.176988,0.37,0.53,"{""cart_value"": 475.88, ""items_count"": 1}",2025-11-14 13:50:49.176997,
3,55f4ddcd-ab62-4e03-bd50-2b2c0053dbf7,226,onboarding,Boas-vindas,4,5,active,email,send_whatsapp,Quasi quod iure dignissimos animi.,2025-12-09 22:50:49.177012,0.34,0.34,"{""cart_value"": 216.73, ""items_count"": 3}",2025-12-04 13:50:49.177019,2025-12-07 13:50:49.177020
4,1526aef5-28ac-41b2-bc83-2f5d131804d8,226,reactivation,Reativação,2,4,paused,whatsapp,send_whatsapp,Vero similique tenetur reiciendis.,2025-12-10 08:50:49.177031,0.38,0.56,"{""cart_value"": 209.39, ""items_count"": 4}",2025-11-30 13:50:49.177038,
5,7adea4f4-fc19-415a-a11a-109abbb05b85,226,abandoned_cart,Recuperação de Carrinho,3,3,completed,sms,send_email,A illum maiores fugiat iste fuga dolore.,2025-12-09 03:50:49.177049,0.34,0.39,"{""cart_value"": 425.85, ""items_count"": 3}",2025-11-29 13:50:49.177056,2025-12-06 13:50:49.177057
6,5ec0340a-b744-4278-9362-a20cd3c598fc,226,upsell,Upsell,2,3,active,email,send_sms,At dolores accusamus.,2025-12-09 00:50:49.177068,0.35,0.88,"{""cart_value"": 495.26, ""items_count"": 1}",2025-11-20 13:50:49.177074,2025-12-07 13:50:49.177075
7,a7266949-e60f-4e87-98b3-c0debd91593a,226,abandoned_cart,Recuperação de Carrinho,3,3,active,sms,send_whatsapp,Perferendis iure vero officia veritatis nam mollitia.,2025-12-09 05:50:49.177085,0.41,0.82,"{""cart_value"": 107.89, ""items_count"": 3}",2025-11-29 13:50:49.177092,2025-12-06 13:50:49.177093
8,55667ff3-9902-4372-967e-368e5d5cb29a,226,onboarding,Boas-vindas,4,5,completed,sms,send_email,Maiores maxime cumque.,2025-12-10 04:50:49.177103,0.4,0.64,"{""cart_value"": 244.75, ""items_count"": 2}",2025-12-02 13:50:49.177109,
9,2ddfa179-95c5-425f-8576-3f82c26f5e2b,226,upsell,Upsell,2,3,completed,email,send_whatsapp,Labore voluptates dolores.,2025-12-09 05:50:49.177119,0.41,0.65,"{""cart_value"": 490.68, ""items_count"": 5}",2025-12-01 13:50:49.177126,
10,59915c15-8556-405c-bb1e-6d836ee88c3f,226,reactivation,Reativação,2,4,active,email,send_email,Sit ex quibusdam aliquid excepturi voluptate illum.,2025-12-09 11:50:49.177136,0.33,0.83,"{""cart_value"": 158.74, ""items_count"": 1}",2025-11-08 13:50:49.177142,
