id,tenant_id,algorithm_id,algorithm_name,algorithm_category,config,preset_name,is_default,is_active,description,created_by,created_at
67b1b0b8-c43e-4309-9600-65ebc77d8d60,4c468ad9-aa48-4691-90f2-54651adcecc7,xgboost,Xgboost,regression,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 6}",fast,False,True,Fast preset for xgboost,ef0cd7a4-3e09-4759-9e80-fce4f4d890b5,2025-11-04 13:50:48.808893
d48adf6a-48f7-490b-97cb-b404f7c0fcf2,4c468ad9-aa48-4691-90f2-54651adcecc7,xgboost,Xgboost,regression,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 6}",balanced,True,True,Balanced preset for xgboost,fee03c00-b360-4322-89a8-cfab3c5e0d8e,2025-07-14 13:50:48.808913
b7c0cf8d-a927-493a-b4db-745e15b48791,4c468ad9-aa48-4691-90f2-54651adcecc7,xgboost,Xgboost,regression,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 6}",accurate,False,True,Accurate preset for xgboost,175da300-92ea-42d9-9e29-f31bb8a7ee4e,2025-10-02 13:50:48.808923
6600f8ee-e447-479d-b535-fca4b53aec0c,4c468ad9-aa48-4691-90f2-54651adcecc7,lightgbm,Lightgbm,classification,"{""num_leaves"": 63, ""learning_rate"": 0.05, ""n_estimators"": 300}",fast,False,True,Fast preset for lightgbm,fa063dcc-726f-40de-b3c4-310e628d2e4e,2025-06-29 13:50:48.808933
e2a87d09-8ea6-4d98-bc3f-7544c804c41f,4c468ad9-aa48-4691-90f2-54651adcecc7,lightgbm,Lightgbm,classification,"{""num_leaves"": 63, ""learning_rate"": 0.05, ""n_estimators"": 300}",balanced,True,True,Balanced preset for lightgbm,59cbce23-c92b-4bb1-a896-dbb1c3dc88e8,2025-07-02 13:50:48.808943
56bd5c3c-158d-4176-a173-0a8a547e65de,4c468ad9-aa48-4691-90f2-54651adcecc7,lightgbm,Lightgbm,classification,"{""num_leaves"": 63, ""learning_rate"": 0.05, ""n_estimators"": 300}",accurate,False,True,Accurate preset for lightgbm,8f5c5e25-f097-44cd-bf85-87aeb405545f,2025-06-13 13:50:48.808952
cf706d12-91a3-4811-95e6-696db0b816df,4c468ad9-aa48-4691-90f2-54651adcecc7,prophet,Prophet,timeseries,"{""seasonality_mode"": ""multiplicative"", ""changepoint_prior_scale"": 0.05}",fast,False,True,Fast preset for prophet,f39107db-6712-4007-8b4d-a32b67cdd273,2025-08-14 13:50:48.808962
0f38d087-d67f-4c1f-8856-636753634e92,4c468ad9-aa48-4691-90f2-54651adcecc7,prophet,Prophet,timeseries,"{""seasonality_mode"": ""multiplicative"", ""changepoint_prior_scale"": 0.05}",balanced,True,True,Balanced preset for prophet,5443504e-0b88-469a-9a7e-5bc9fa7079c3,2025-06-17 13:50:48.808972
490c562d-08a7-4965-a446-d29defb3bd8a,4c468ad9-aa48-4691-90f2-54651adcecc7,prophet,Prophet,timeseries,"{""seasonality_mode"": ""multiplicative"", ""changepoint_prior_scale"": 0.05}",accurate,False,True,Accurate preset for prophet,e2554a80-9bbf-4fac-a120-410ebf01c05b,2025-09-22 13:50:48.808981
824238fc-6f27-4925-82a5-c68945b9568b,4c468ad9-aa48-4691-90f2-54651adcecc7,kmeans,Kmeans,clustering,"{""n_clusters"": 4, ""init"": ""k-means++"", ""n_init"": 20}",fast,False,True,Fast preset for kmeans,57238507-326f-4aaa-ab69-685e75b85504,2025-07-12 13:50:48.808990
fdd07265-b130-4688-ae01-a75fa833ff69,4c468ad9-aa48-4691-90f2-54651adcecc7,kmeans,Kmeans,clustering,"{""n_clusters"": 4, ""init"": ""k-means++"", ""n_init"": 20}",balanced,True,True,Balanced preset for kmeans,0afaaf11-db50-403c-a8da-e2a85d237330,2025-08-30 13:50:48.809000
256684d7-47e5-4637-be3e-6b3b329fe20b,4c468ad9-aa48-4691-90f2-54651adcecc7,kmeans,Kmeans,clustering,"{""n_clusters"": 4, ""init"": ""k-means++"", ""n_init"": 20}",accurate,False,True,Accurate preset for kmeans,aaa86540-21fc-49dd-8d22-93d8b1abae9a,2025-10-17 13:50:48.809008
8aa875cd-149a-479b-9961-872c16bd8591,4c468ad9-aa48-4691-90f2-54651adcecc7,random_forest,Random Forest,regression,"{""n_estimators"": 300, ""max_depth"": 15, ""min_samples_split"": 2}",fast,False,True,Fast preset for random_forest,d43bb20f-dba3-448c-a24d-35e202de4d92,2025-10-20 13:50:48.809018
c410235e-935e-4151-923f-220bc71045ad,4c468ad9-aa48-4691-90f2-54651adcecc7,random_forest,Random Forest,regression,"{""n_estimators"": 300, ""max_depth"": 15, ""min_samples_split"": 2}",balanced,True,True,Balanced preset for random_forest,6a8ddc7e-2430-4431-b9b2-8b673eaa4c45,2025-07-24 13:50:48.809027
b012225e-c248-4f68-8349-8b2785028c8c,4c468ad9-aa48-4691-90f2-54651adcecc7,random_forest,Random Forest,regression,"{""n_estimators"": 300, ""max_depth"": 15, ""min_samples_split"": 2}",accurate,False,True,Accurate preset for random_forest,aa014464-261e-4302-b9bd-2f7f505672bd,2025-06-23 13:50:48.809035
