id,experiment_id,silhouette_score,davies_bouldin_index,calinski_harabasz_score,n_clusters,cluster_centers,cluster_sizes,cluster_labels,inertia
1c333ec1-ada3-4d19-9eb2-81f4f48f4081,74a2cea8-cd3a-46d2-b6d6-6fa439217c62,0.6637,0.5511,322.16,3,"[[32404.216485237477, 146.06317126715595], [20935.562571242695, 188.31295078414163], [32361.790344262434, 153.40842803902666]]","{""cluster_0"": 286, ""cluster_1"": 124, ""cluster_2"": 51}","{""cluster_0"": ""Segment 1"", ""cluster_1"": ""Segment 2"", ""cluster_2"": ""Segment 3""}",4617583.19
7f77da08-3f60-4702-b00a-6ecae3562122,3627c15f-8454-446d-acac-fa7b68786a3d,0.6941,1.0819,790.64,5,"[[79225.12965943624, 173.98583169472047], [42307.02664744125, 175.66809661905324], [22685.40717181369, 71.25041290978152], [34770.38977523017, 150.27992083674513], [72916.68739416203, 113.42609004720566]]","{""cluster_0"": 196, ""cluster_1"": 231, ""cluster_2"": 271, ""cluster_3"": 280, ""cluster_4"": 210}","{""cluster_0"": ""Segment 1"", ""cluster_1"": ""Segment 2"", ""cluster_2"": ""Segment 3"", ""cluster_3"": ""Segment 4"", ""cluster_4"": ""Segment 5""}",2238956.99
e2981645-98a1-4728-8b2a-7181a0e0ba79,deac9a2c-b753-4a6b-be0e-6d997c59a979,0.671,0.6908,614.17,5,"[[44953.242163459174, 112.04597805864933], [36685.201008305354, 185.1613706232941], [69003.47848797977, 123.23247371624278], [56007.77760614292, 143.98056457846218], [43728.10842475265, 154.4002649565711]]","{""cluster_0"": 164, ""cluster_1"": 82, ""cluster_2"": 219, ""cluster_3"": 226, ""cluster_4"": 107}","{""cluster_0"": ""Segment 1"", ""cluster_1"": ""Segment 2"", ""cluster_2"": ""Segment 3"", ""cluster_3"": ""Segment 4"", ""cluster_4"": ""Segment 5""}",1282097.42
759a0542-f9d3-4710-8dc5-70ee251a1b1c,7e8a1213-f6c6-4fe3-9cbf-1392d55c2468,0.4846,1.1316,493.12,3,"[[31001.513691368564, 99.10678472448147], [76610.18747393471, 88.47487452102885], [60854.33604494782, 189.59289792368475]]","{""cluster_0"": 151, ""cluster_1"": 122, ""cluster_2"": 187}","{""cluster_0"": ""Segment 1"", ""cluster_1"": ""Segment 2"", ""cluster_2"": ""Segment 3""}",2145755.84
bc836040-905b-4f4b-bca5-c27614af8c63,d145ff4b-f06e-4675-a7f5-f424cca16924,0.5284,1.0327,436.94,5,"[[73135.97808064218, 80.31891616084695], [25190.183768309646, 176.96814443688902], [32047.29026278035, 127.73383371035582], [22141.711027453977, 121.82296824754464], [26684.397561242462, 55.7046884668187]]","{""cluster_0"": 149, ""cluster_1"": 97, ""cluster_2"": 71, ""cluster_3"": 245, ""cluster_4"": 227}","{""cluster_0"": ""Segment 1"", ""cluster_1"": ""Segment 2"", ""cluster_2"": ""Segment 3"", ""cluster_3"": ""Segment 4"", ""cluster_4"": ""Segment 5""}",4225636.45
20452ef2-eb67-4775-a9ed-a847b84892ce,c8fbef86-1749-4c27-be3f-4d5cc1621f07,0.5808,0.7596,643.01,3,"[[46521.42909035152, 165.36898468552369], [59772.60571730833, 125.54289337261412], [78470.45608861867, 165.28238193366457]]","{""cluster_0"": 235, ""cluster_1"": 131, ""cluster_2"": 61}","{""cluster_0"": ""Segment 1"", ""cluster_1"": ""Segment 2"", ""cluster_2"": ""Segment 3""}",3275205.4
46153efb-7da3-49ac-89c7-cb89ba517bee,440027d2-c54c-4f76-b753-f79cf0a7381c,0.5524,1.1653,753.1,3,"[[41007.03304798994, 80.09739469911472], [58648.11020631856, 108.69677966091895], [29185.851043531875, 93.77083983897559]]","{""cluster_0"": 66, ""cluster_1"": 107, ""cluster_2"": 97}","{""cluster_0"": ""Segment 1"", ""cluster_1"": ""Segment 2"", ""cluster_2"": ""Segment 3""}",3508854.51
d5d03056-30b3-4ea6-93d7-80efd6d4f803,0087aa4d-7d7a-4c87-96e5-ce83adddae8e,0.6474,0.8072,722.8,4,"[[24162.972946504786, 86.86641819960629], [51713.396141442594, 133.52796974900883], [28601.807004417482, 194.6264806958514], [23402.78764577171, 152.71442428059652]]","{""cluster_0"": 154, ""cluster_1"": 182, ""cluster_2"": 186, ""cluster_3"": 54}","{""cluster_0"": ""Segment 1"", ""cluster_1"": ""Segment 2"", ""cluster_2"": ""Segment 3"", ""cluster_3"": ""Segment 4""}",3474344.9
2e758a95-d85a-4c00-8d6b-5150f5ef8dd0,1c86f981-f842-4579-9c8c-b8289eeadba2,0.6672,0.7252,223.06,3,"[[74091.17673507001, 152.64749106056462], [20354.096463865062, 50.5131429762151], [23505.052542853082, 108.12909055727954]]","{""cluster_0"": 195, ""cluster_1"": 80, ""cluster_2"": 269}","{""cluster_0"": ""Segment 1"", ""cluster_1"": ""Segment 2"", ""cluster_2"": ""Segment 3""}",1898072.3
ee9683e9-7f7f-4e93-9f79-38813fa8d334,eb1d5cb5-bb69-4154-bf7c-4e710c8f0700,0.4606,0.8819,211.88,5,"[[69439.90435189521, 121.46423601047427], [54289.51232647455, 107.90821233667631], [61136.59916045476, 108.01507061310619], [74614.46482601884, 85.65035724961888], [49433.74035326026, 87.50634716281246]]","{""cluster_0"": 300, ""cluster_1"": 212, ""cluster_2"": 166, ""cluster_3"": 172, ""cluster_4"": 285}","{""cluster_0"": ""Segment 1"", ""cluster_1"": ""Segment 2"", ""cluster_2"": ""Segment 3"", ""cluster_3"": ""Segment 4"", ""cluster_4"": ""Segment 5""}",4594307.01
0b77e36a-722a-46ff-8213-cab1eb2ff5a1,7e1e68cf-cd6b-487b-b274-54324b26acf3,0.6109,0.7521,286.64,4,"[[58225.592850586116, 76.15297395330632], [78042.20038136173, 199.8710720880452], [72916.2494064793, 105.21171436459449], [21256.22753727581, 170.81757184102125]]","{""cluster_0"": 86, ""cluster_1"": 60, ""cluster_2"": 167, ""cluster_3"": 155}","{""cluster_0"": ""Segment 1"", ""cluster_1"": ""Segment 2"", ""cluster_2"": ""Segment 3"", ""cluster_3"": ""Segment 4""}",3842743.3
