id,tenant_id,name,dataset_id,algorithm,task_type,status,target_column,feature_columns,hyperparameters,preset,metrics,feature_importance,predictions_sample,confusion_matrix,training_duration,model_path,is_deployed,market_area,created_at
ea647509-0e5d-4450-b65f-7c15d1665d21,4c468ad9-aa48-4691-90f2-54651adcecc7,Tech Solutions Ltda - XGBOOST Analysis,7686e1e4-a2cb-452b-9eff-2f8f4326b89e,xgboost,regression,completed,revenue,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 6}",balanced,"{""r2_score"": 0.8884, ""rmse"": 13094.3, ""mae"": 3045.49}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,57810,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/xgboost_5eabc211-702a-49fc-8005-5464548440a4.pkl,True,sales,2025-09-09 13:50:48.727879
e735e924-f043-425e-b1a0-149ecd44b4c3,4c468ad9-aa48-4691-90f2-54651adcecc7,Tech Solutions Ltda - LIGHTGBM Analysis,7686e1e4-a2cb-452b-9eff-2f8f4326b89e,lightgbm,classification,completed,churn,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""num_leaves"": 63, ""learning_rate"": 0.05}",balanced,"{""accuracy"": 0.8806, ""precision"": 0.8187, ""recall"": 0.8949, ""f1"": 0.8503}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]","[[45, 5], [3, 47]]",11078,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/lightgbm_3c735d60-f9ee-4129-b04b-5fde62ffb8bd.pkl,False,marketing,2025-11-25 13:50:48.727938
cb785ad2-5018-47c3-afb2-b24872f269bd,4c468ad9-aa48-4691-90f2-54651adcecc7,Tech Solutions Ltda - PROPHET Analysis,7686e1e4-a2cb-452b-9eff-2f8f4326b89e,prophet,timeseries,completed,,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""seasonality_mode"": ""multiplicative""}",balanced,"{""mape"": 0.1108, ""rmse"": 12226.08}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,57895,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/prophet_0dbd5f2a-86b7-4f91-b50a-6d4e6464cd77.pkl,True,sales,2025-10-10 13:50:48.727967
74a2cea8-cd3a-46d2-b6d6-6fa439217c62,4c468ad9-aa48-4691-90f2-54651adcecc7,Tech Solutions Ltda - KMEANS Analysis,7686e1e4-a2cb-452b-9eff-2f8f4326b89e,kmeans,clustering,completed,,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_clusters"": 4, ""init"": ""k-means++""}",accurate,"{""silhouette_score"": 0.4874, ""n_clusters"": 4}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,10164,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/kmeans_bea9bab6-a54e-4628-9149-1e8d4e4923e8.pkl,False,customers,2025-09-18 13:50:48.727993
7e118648-e3c8-488d-af18-77c94a902b8f,4c468ad9-aa48-4691-90f2-54651adcecc7,Tech Solutions Ltda - RANDOM_FOREST Analysis,7686e1e4-a2cb-452b-9eff-2f8f4326b89e,random_forest,regression,completed,revenue,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_estimators"": 300, ""max_depth"": 15}",accurate,"{""r2_score"": 0.9328, ""rmse"": 8616.35, ""mae"": 4346.02}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,9558,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/random_forest_3b4ad176-3e37-40d6-bb72-03d6945b782e.pkl,True,finance,2025-09-14 13:50:48.728017
ef7890d7-7066-48ae-b297-c0b5dc6dbc3e,4c468ad9-aa48-4691-90f2-54651adcecc7,EduLearn - XGBOOST Analysis,20c64127-ec14-41f2-8b80-50478359b480,xgboost,regression,completed,revenue,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 6}",fast,"{""r2_score"": 0.916, ""rmse"": 14852.22, ""mae"": 8987.22}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,11619,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/xgboost_ebfa6dbd-61ad-41d7-a3dd-27df96e27058.pkl,False,sales,2025-11-02 13:50:48.728042
2f9f3d44-d446-4c38-8c31-41d9c0c0f987,4c468ad9-aa48-4691-90f2-54651adcecc7,EduLearn - LIGHTGBM Analysis,20c64127-ec14-41f2-8b80-50478359b480,lightgbm,classification,completed,churn,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""num_leaves"": 63, ""learning_rate"": 0.05}",balanced,"{""accuracy"": 0.9072, ""precision"": 0.8438, ""recall"": 0.8244, ""f1"": 0.8389}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]","[[45, 5], [3, 47]]",22496,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/lightgbm_f88f3b14-58a6-4e0a-b9d6-dd91a36ab55b.pkl,True,marketing,2025-09-21 13:50:48.728069
d14b78e8-a3ee-4c20-94be-94c13260fa29,4c468ad9-aa48-4691-90f2-54651adcecc7,EduLearn - PROPHET Analysis,20c64127-ec14-41f2-8b80-50478359b480,prophet,timeseries,completed,,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""seasonality_mode"": ""multiplicative""}",accurate,"{""mape"": 0.0703, ""rmse"": 13103.89}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,15708,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/prophet_698e412b-a878-4890-a0f2-9d97fc7e19c9.pkl,False,sales,2025-10-20 13:50:48.728091
3627c15f-8454-446d-acac-fa7b68786a3d,4c468ad9-aa48-4691-90f2-54651adcecc7,EduLearn - KMEANS Analysis,20c64127-ec14-41f2-8b80-50478359b480,kmeans,clustering,completed,,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_clusters"": 4, ""init"": ""k-means++""}",balanced,"{""silhouette_score"": 0.7469, ""n_clusters"": 5}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,50099,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/kmeans_91639eae-a708-4dc7-beb4-8bc4fc0ba444.pkl,True,customers,2025-09-11 13:50:48.728113
f6808239-f767-417b-acbb-3530a4ac486e,4c468ad9-aa48-4691-90f2-54651adcecc7,EduLearn - RANDOM_FOREST Analysis,20c64127-ec14-41f2-8b80-50478359b480,random_forest,regression,completed,revenue,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_estimators"": 300, ""max_depth"": 15}",balanced,"{""r2_score"": 0.9264, ""rmse"": 12760.0, ""mae"": 4603.34}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,7103,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/random_forest_cb7e638f-94f8-4494-a81d-9f719fc64cc6.pkl,False,finance,2025-10-17 13:50:48.728138
