id,segment_id,experiment_id,tenant_id,analysis_date,analysis_type,algorithm,primary_metric_name,primary_metric_value,secondary_metrics,chart_data,table_data,sample_size,confidence_level
12bb90dc-42d5-4154-81a1-2e848909273c,4,f3cd19a2-1c28-4a38-a52a-3e6d777f655c,4c468ad9-aa48-4691-90f2-54651adcecc7,2025-11-19,sales_forecast,prophet,Accuracy,0.7757,"{""rmse"": 11347.39, ""mae"": 9786.6}","[{""x"": 0, ""y"": 61126.79}, {""x"": 1, ""y"": 30991.57}, {""x"": 2, ""y"": 65589.3}, {""x"": 3, ""y"": 64811.25}, {""x"": 4, ""y"": 74405.17}, {""x"": 5, ""y"": 53058.32}, {""x"": 6, ""y"": 59019.88}, {""x"": 7, ""y"": 58593.63}, {""x"": 8, ""y"": 59949.41}, {""x"": 9, ""y"": 34289.95}, {""x"": 10, ""y"": 58452.71}, {""x"": 11, ""y"": 50264.24}, {""x"": 12, ""y"": 64222.75}, {""x"": 13, ""y"": 50181.53}, {""x"": 14, ""y"": 47431.55}, {""x"": 15, ""y"": 51830.45}, {""x"": 16, ""y"": 36211.1}, {""x"": 17, ""y"": 56012.73}, {""x"": 18, ""y"": 55067.0}, {""x"": 19, ""y"": 31457.18}, {""x"": 20, ""y"": 47864.46}, {""x"": 21, ""y"": 67942.05}, {""x"": 22, ""y"": 34590.44}, {""x"": 23, ""y"": 32393.82}, {""x"": 24, ""y"": 53265.43}, {""x"": 25, ""y"": 35405.3}, {""x"": 26, ""y"": 73520.96}, {""x"": 27, ""y"": 39428.19}, {""x"": 28, ""y"": 45386.62}, {""x"": 29, ""y"": 54290.52}]","[{""metric"": ""Revenue"", ""value"": 403424.97}, {""metric"": ""Orders"", ""value"": 931}]",1568,0.92
f84e0269-5de0-4195-b409-b2ef383997cf,5,352fe3aa-71d2-4be0-accf-9088f045a5db,4c468ad9-aa48-4691-90f2-54651adcecc7,2025-10-29,customer_segmentation,prophet,Accuracy,0.9197,"{""rmse"": 12254.3, ""mae"": 7273.71}","[{""x"": 0, ""y"": 32796.03}, {""x"": 1, ""y"": 35435.68}, {""x"": 2, ""y"": 79335.53}, {""x"": 3, ""y"": 75978.82}, {""x"": 4, ""y"": 45491.02}, {""x"": 5, ""y"": 79736.58}, {""x"": 6, ""y"": 45012.08}, {""x"": 7, ""y"": 77911.74}, {""x"": 8, ""y"": 61931.75}, {""x"": 9, ""y"": 49575.15}, {""x"": 10, ""y"": 38073.64}, {""x"": 11, ""y"": 67793.6}, {""x"": 12, ""y"": 62571.74}, {""x"": 13, ""y"": 53477.83}, {""x"": 14, ""y"": 45597.64}, {""x"": 15, ""y"": 57924.02}, {""x"": 16, ""y"": 72902.15}, {""x"": 17, ""y"": 37811.11}, {""x"": 18, ""y"": 63064.94}, {""x"": 19, ""y"": 51082.75}, {""x"": 20, ""y"": 75400.98}, {""x"": 21, ""y"": 34354.66}, {""x"": 22, ""y"": 51806.68}, {""x"": 23, ""y"": 64526.66}, {""x"": 24, ""y"": 79192.24}, {""x"": 25, ""y"": 44207.42}, {""x"": 26, ""y"": 72734.31}, {""x"": 27, ""y"": 69754.07}, {""x"": 28, ""y"": 31616.52}, {""x"": 29, ""y"": 76207.4}]","[{""metric"": ""Revenue"", ""value"": 237602.76}, {""metric"": ""Orders"", ""value"": 958}]",1598,0.92
db83bbd9-870b-4f1d-a2fc-2f63f23d3a60,2,64b82ae4-7632-4966-b822-717db3a08f75,4c468ad9-aa48-4691-90f2-54651adcecc7,2025-10-21,churn_prediction,prophet,Accuracy,0.8421,"{""rmse"": 9843.74, ""mae"": 5400.87}","[{""x"": 0, ""y"": 41462.08}, {""x"": 1, ""y"": 66674.54}, {""x"": 2, ""y"": 38685.86}, {""x"": 3, ""y"": 61777.0}, {""x"": 4, ""y"": 32179.37}, {""x"": 5, ""y"": 73291.09}, {""x"": 6, ""y"": 52739.96}, {""x"": 7, ""y"": 30315.97}, {""x"": 8, ""y"": 74828.04}, {""x"": 9, ""y"": 39222.8}, {""x"": 10, ""y"": 33677.88}, {""x"": 11, ""y"": 68860.66}, {""x"": 12, ""y"": 57432.19}, {""x"": 13, ""y"": 70568.39}, {""x"": 14, ""y"": 64099.06}, {""x"": 15, ""y"": 75546.81}, {""x"": 16, ""y"": 66111.26}, {""x"": 17, ""y"": 69814.49}, {""x"": 18, ""y"": 53053.06}, {""x"": 19, ""y"": 69666.39}, {""x"": 20, ""y"": 49247.01}, {""x"": 21, ""y"": 70207.02}, {""x"": 22, ""y"": 43708.62}, {""x"": 23, ""y"": 51049.39}, {""x"": 24, ""y"": 43160.64}, {""x"": 25, ""y"": 42737.99}, {""x"": 26, ""y"": 45536.23}, {""x"": 27, ""y"": 36584.93}, {""x"": 28, ""y"": 65103.59}, {""x"": 29, ""y"": 76648.12}]","[{""metric"": ""Revenue"", ""value"": 409234.68}, {""metric"": ""Orders"", ""value"": 361}]",3506,0.94
7c5a969d-7cea-4a1b-ad08-b43a282097a2,5,f14de714-f510-409d-bc1d-81cce1b40a24,4c468ad9-aa48-4691-90f2-54651adcecc7,2025-11-05,customer_segmentation,lightgbm,R2 Score,0.7769,"{""rmse"": 13287.99, ""mae"": 7909.86}","[{""x"": 0, ""y"": 35414.19}, {""x"": 1, ""y"": 43067.88}, {""x"": 2, ""y"": 63514.34}, {""x"": 3, ""y"": 34950.49}, {""x"": 4, ""y"": 33684.37}, {""x"": 5, ""y"": 64575.86}, {""x"": 6, ""y"": 67580.44}, {""x"": 7, ""y"": 31847.8}, {""x"": 8, ""y"": 77440.66}, {""x"": 9, ""y"": 51828.55}, {""x"": 10, ""y"": 65846.2}, {""x"": 11, ""y"": 42858.17}, {""x"": 12, ""y"": 79442.16}, {""x"": 13, ""y"": 75002.07}, {""x"": 14, ""y"": 54406.31}, {""x"": 15, ""y"": 54684.96}, {""x"": 16, ""y"": 31599.1}, {""x"": 17, ""y"": 63385.35}, {""x"": 18, ""y"": 70440.76}, {""x"": 19, ""y"": 74558.48}, {""x"": 20, ""y"": 50894.23}, {""x"": 21, ""y"": 39130.3}, {""x"": 22, ""y"": 76343.47}, {""x"": 23, ""y"": 43668.77}, {""x"": 24, ""y"": 73339.05}, {""x"": 25, ""y"": 60585.83}, {""x"": 26, ""y"": 64212.01}, {""x"": 27, ""y"": 54754.26}, {""x"": 28, ""y"": 54523.54}, {""x"": 29, ""y"": 61907.6}]","[{""metric"": ""Revenue"", ""value"": 288415.69}, {""metric"": ""Orders"", ""value"": 840}]",2036,0.95
fe7214c9-07be-4acc-9d73-79544b1b9834,2,55a4823f-e57e-43d3-b7e8-d66932f768b5,4c468ad9-aa48-4691-90f2-54651adcecc7,2025-10-10,sales_forecast,lightgbm,Accuracy,0.9462,"{""rmse"": 6044.49, ""mae"": 5972.33}","[{""x"": 0, ""y"": 71654.99}, {""x"": 1, ""y"": 63006.19}, {""x"": 2, ""y"": 60098.36}, {""x"": 3, ""y"": 58029.86}, {""x"": 4, ""y"": 76323.01}, {""x"": 5, ""y"": 51868.33}, {""x"": 6, ""y"": 35098.03}, {""x"": 7, ""y"": 47018.43}, {""x"": 8, ""y"": 32004.47}, {""x"": 9, ""y"": 31043.94}, {""x"": 10, ""y"": 60953.0}, {""x"": 11, ""y"": 56602.97}, {""x"": 12, ""y"": 45712.2}, {""x"": 13, ""y"": 34336.2}, {""x"": 14, ""y"": 56440.85}, {""x"": 15, ""y"": 60429.4}, {""x"": 16, ""y"": 46337.58}, {""x"": 17, ""y"": 33203.04}, {""x"": 18, ""y"": 35292.53}, {""x"": 19, ""y"": 73551.05}, {""x"": 20, ""y"": 59462.2}, {""x"": 21, ""y"": 75537.75}, {""x"": 22, ""y"": 68327.34}, {""x"": 23, ""y"": 78773.76}, {""x"": 24, ""y"": 68082.54}, {""x"": 25, ""y"": 53158.71}, {""x"": 26, ""y"": 52489.33}, {""x"": 27, ""y"": 60453.77}, {""x"": 28, ""y"": 75705.07}, {""x"": 29, ""y"": 48403.28}]","[{""metric"": ""Revenue"", ""value"": 248683.77}, {""metric"": ""Orders"", ""value"": 502}]",4541,0.99
7dd3b758-1d79-4889-9a25-2dcfe713318f,6,eaee1260-89cb-42af-94fb-9f07b69a39bd,4c468ad9-aa48-4691-90f2-54651adcecc7,2025-10-06,sales_forecast,lightgbm,Accuracy,0.7612,"{""rmse"": 6323.2, ""mae"": 8179.42}","[{""x"": 0, ""y"": 34723.28}, {""x"": 1, ""y"": 57661.96}, {""x"": 2, ""y"": 37128.11}, {""x"": 3, ""y"": 41874.33}, {""x"": 4, ""y"": 75055.3}, {""x"": 5, ""y"": 76659.44}, {""x"": 6, ""y"": 47367.06}, {""x"": 7, ""y"": 59724.26}, {""x"": 8, ""y"": 70132.19}, {""x"": 9, ""y"": 74166.02}, {""x"": 10, ""y"": 54275.54}, {""x"": 11, ""y"": 60896.72}, {""x"": 12, ""y"": 53977.58}, {""x"": 13, ""y"": 65151.71}, {""x"": 14, ""y"": 51371.01}, {""x"": 15, ""y"": 55512.46}, {""x"": 16, ""y"": 68923.25}, {""x"": 17, ""y"": 72151.28}, {""x"": 18, ""y"": 48773.85}, {""x"": 19, ""y"": 31064.68}, {""x"": 20, ""y"": 74581.92}, {""x"": 21, ""y"": 50279.32}, {""x"": 22, ""y"": 71396.61}, {""x"": 23, ""y"": 30040.9}, {""x"": 24, ""y"": 33333.65}, {""x"": 25, ""y"": 43293.0}, {""x"": 26, ""y"": 68621.37}, {""x"": 27, ""y"": 49171.74}, {""x"": 28, ""y"": 53030.38}, {""x"": 29, ""y"": 59729.98}]","[{""metric"": ""Revenue"", ""value"": 332630.47}, {""metric"": ""Orders"", ""value"": 869}]",3575,0.97
8612300b-d8f5-4ce7-9117-45a1311c700e,3,6fafeb21-9026-49b2-89de-66406ed92ca4,4c468ad9-aa48-4691-90f2-54651adcecc7,2025-12-07,churn_prediction,prophet,R2 Score,0.8311,"{""rmse"": 6215.6, ""mae"": 9179.56}","[{""x"": 0, ""y"": 44868.91}, {""x"": 1, ""y"": 30832.62}, {""x"": 2, ""y"": 39741.79}, {""x"": 3, ""y"": 78259.98}, {""x"": 4, ""y"": 72544.28}, {""x"": 5, ""y"": 31838.14}, {""x"": 6, ""y"": 43486.41}, {""x"": 7, ""y"": 74785.15}, {""x"": 8, ""y"": 33073.78}, {""x"": 9, ""y"": 54989.37}, {""x"": 10, ""y"": 50230.28}, {""x"": 11, ""y"": 74107.76}, {""x"": 12, ""y"": 58058.98}, {""x"": 13, ""y"": 38413.96}, {""x"": 14, ""y"": 38052.92}, {""x"": 15, ""y"": 47007.96}, {""x"": 16, ""y"": 40338.72}, {""x"": 17, ""y"": 54687.09}, {""x"": 18, ""y"": 79830.98}, {""x"": 19, ""y"": 35999.55}, {""x"": 20, ""y"": 58344.65}, {""x"": 21, ""y"": 78488.17}, {""x"": 22, ""y"": 59248.81}, {""x"": 23, ""y"": 74808.46}, {""x"": 24, ""y"": 55119.63}, {""x"": 25, ""y"": 56036.05}, {""x"": 26, ""y"": 66419.97}, {""x"": 27, ""y"": 37570.63}, {""x"": 28, ""y"": 36394.84}, {""x"": 29, ""y"": 48501.64}]","[{""metric"": ""Revenue"", ""value"": 359627.0}, {""metric"": ""Orders"", ""value"": 298}]",4118,0.97
85475c8f-86a3-433f-b64e-2b6d1f58e142,5,a5ab07fd-e6e1-40ad-901b-8943e8a7608e,4c468ad9-aa48-4691-90f2-54651adcecc7,2025-09-10,sales_forecast,xgboost,Silhouette Score,0.8657,"{""rmse"": 6240.19, ""mae"": 9177.28}","[{""x"": 0, ""y"": 31943.01}, {""x"": 1, ""y"": 61971.35}, {""x"": 2, ""y"": 69089.33}, {""x"": 3, ""y"": 59232.61}, {""x"": 4, ""y"": 52208.97}, {""x"": 5, ""y"": 65132.74}, {""x"": 6, ""y"": 51073.13}, {""x"": 7, ""y"": 62811.55}, {""x"": 8, ""y"": 55747.73}, {""x"": 9, ""y"": 76451.41}, {""x"": 10, ""y"": 50633.06}, {""x"": 11, ""y"": 53718.01}, {""x"": 12, ""y"": 79728.58}, {""x"": 13, ""y"": 60956.96}, {""x"": 14, ""y"": 52459.28}, {""x"": 15, ""y"": 32809.9}, {""x"": 16, ""y"": 54421.58}, {""x"": 17, ""y"": 46239.03}, {""x"": 18, ""y"": 40814.8}, {""x"": 19, ""y"": 56354.28}, {""x"": 20, ""y"": 40777.79}, {""x"": 21, ""y"": 45156.94}, {""x"": 22, ""y"": 53034.64}, {""x"": 23, ""y"": 79528.82}, {""x"": 24, ""y"": 40925.54}, {""x"": 25, ""y"": 33055.99}, {""x"": 26, ""y"": 31466.45}, {""x"": 27, ""y"": 63645.43}, {""x"": 28, ""y"": 50570.65}, {""x"": 29, ""y"": 30087.69}]","[{""metric"": ""Revenue"", ""value"": 425947.71}, {""metric"": ""Orders"", ""value"": 288}]",4520,0.97
bccd78ce-82a1-45a2-81bd-aad1a207404b,4,81683d6e-8971-4f1b-8137-2bcb010736f9,4c468ad9-aa48-4691-90f2-54651adcecc7,2025-10-11,customer_segmentation,xgboost,R2 Score,0.8954,"{""rmse"": 6672.38, ""mae"": 9341.16}","[{""x"": 0, ""y"": 65773.2}, {""x"": 1, ""y"": 68060.92}, {""x"": 2, ""y"": 34472.27}, {""x"": 3, ""y"": 67186.07}, {""x"": 4, ""y"": 45076.64}, {""x"": 5, ""y"": 51404.57}, {""x"": 6, ""y"": 44060.03}, {""x"": 7, ""y"": 32750.44}, {""x"": 8, ""y"": 56141.84}, {""x"": 9, ""y"": 39327.55}, {""x"": 10, ""y"": 47079.38}, {""x"": 11, ""y"": 76219.45}, {""x"": 12, ""y"": 59340.19}, {""x"": 13, ""y"": 47861.63}, {""x"": 14, ""y"": 66782.75}, {""x"": 15, ""y"": 76164.85}, {""x"": 16, ""y"": 53284.49}, {""x"": 17, ""y"": 56641.94}, {""x"": 18, ""y"": 35591.17}, {""x"": 19, ""y"": 79522.2}, {""x"": 20, ""y"": 38322.52}, {""x"": 21, ""y"": 53908.54}, {""x"": 22, ""y"": 78959.45}, {""x"": 23, ""y"": 65351.95}, {""x"": 24, ""y"": 52528.07}, {""x"": 25, ""y"": 59833.62}, {""x"": 26, ""y"": 69857.57}, {""x"": 27, ""y"": 71012.49}, {""x"": 28, ""y"": 51321.07}, {""x"": 29, ""y"": 51693.86}]","[{""metric"": ""Revenue"", ""value"": 498462.79}, {""metric"": ""Orders"", ""value"": 384}]",3240,0.98
a8bd23da-337c-4389-8380-9e662922b82c,5,eff67683-a2e3-457a-8b29-741b536d3856,4c468ad9-aa48-4691-90f2-54651adcecc7,2025-10-16,customer_segmentation,prophet,MAPE,0.8346,"{""rmse"": 12351.7, ""mae"": 7799.6}","[{""x"": 0, ""y"": 75260.35}, {""x"": 1, ""y"": 65555.13}, {""x"": 2, ""y"": 55979.31}, {""x"": 3, ""y"": 47262.65}, {""x"": 4, ""y"": 34908.4}, {""x"": 5, ""y"": 51783.59}, {""x"": 6, ""y"": 64829.14}, {""x"": 7, ""y"": 55237.3}, {""x"": 8, ""y"": 55051.14}, {""x"": 9, ""y"": 78039.43}, {""x"": 10, ""y"": 62302.78}, {""x"": 11, ""y"": 36078.08}, {""x"": 12, ""y"": 55771.32}, {""x"": 13, ""y"": 31848.25}, {""x"": 14, ""y"": 54382.21}, {""x"": 15, ""y"": 70364.54}, {""x"": 16, ""y"": 68021.47}, {""x"": 17, ""y"": 43421.09}, {""x"": 18, ""y"": 73060.65}, {""x"": 19, ""y"": 50993.04}, {""x"": 20, ""y"": 37671.38}, {""x"": 21, ""y"": 60344.0}, {""x"": 22, ""y"": 56034.31}, {""x"": 23, ""y"": 51581.11}, {""x"": 24, ""y"": 65632.66}, {""x"": 25, ""y"": 38380.1}, {""x"": 26, ""y"": 50257.84}, {""x"": 27, ""y"": 31069.61}, {""x"": 28, ""y"": 43698.74}, {""x"": 29, ""y"": 56013.39}]","[{""metric"": ""Revenue"", ""value"": 313385.91}, {""metric"": ""Orders"", ""value"": 670}]",3863,0.95
