tenant_id,description,amount,type,date,status,client_id
1,Service Payment,288.33,income,2025-09-03,paid,
1,Operational Cost,123.30,expense,2025-11-25,paid,
1,Service Payment,460.72,income,2025-06-12,paid,
1,Service Payment,531.20,income,2025-10-27,paid,
1,Service Payment,745.56,income,2025-03-31,paid,
1,Service Payment,922.80,income,2025-12-07,paid,
1,Operational Cost,880.70,expense,2025-09-05,paid,
1,Service Payment,142.01,income,2025-03-22,paid,
1,Service Payment,740.53,income,2025-03-04,paid,
1,Service Payment,390.69,income,2025-01-25,paid,
1,Service Payment,908.49,income,2025-01-22,paid,
1,Operational Cost,616.94,expense,2025-09-03,paid,
1,Service Payment,1067.98,income,2025-01-29,paid,
1,Service Payment,1061.50,income,2025-07-27,paid,
1,Service Payment,307.90,income,2025-12-07,paid,
1,Service Payment,710.81,income,2025-06-21,paid,
1,Operational Cost,571.99,expense,2025-03-12,paid,
1,Service Payment,680.34,income,2025-03-27,paid,
1,Service Payment,879.70,income,2025-03-19,paid,
1,Service Payment,140.17,income,2025-09-07,paid,
1,Service Payment,1013.46,income,2025-07-09,paid,
1,Operational Cost,736.16,expense,2025-05-02,paid,
1,Service Payment,518.66,income,2025-03-16,paid,
1,Operational Cost,1052.28,expense,2025-10-17,paid,
1,Service Payment,325.05,income,2025-10-05,paid,
1,Service Payment,638.86,income,2025-05-07,paid,
1,Service Payment,106.55,income,2025-08-08,paid,
1,Operational Cost,826.62,expense,2025-11-25,paid,
1,Service Payment,256.06,income,2025-10-31,paid,
1,Service Payment,325.48,income,2025-10-25,paid,
1,Operational Cost,797.52,expense,2025-07-30,paid,
1,Operational Cost,437.49,expense,2025-08-11,paid,
1,Service Payment,386.22,income,2025-08-18,paid,
1,Operational Cost,472.81,expense,2025-08-08,paid,
1,Operational Cost,1045.71,expense,2025-10-23,paid,
1,Service Payment,717.99,income,2025-02-19,paid,
1,Service Payment,150.30,income,2025-11-01,paid,
1,Operational Cost,916.45,expense,2025-11-12,paid,
1,Service Payment,961.42,income,2025-07-04,paid,
1,Service Payment,365.65,income,2025-03-27,paid,
1,Operational Cost,660.29,expense,2025-02-23,paid,
1,Service Payment,852.43,income,2025-02-25,paid,
1,Service Payment,354.25,income,2025-11-02,paid,
1,Service Payment,211.57,income,2025-08-31,paid,
1,Service Payment,304.15,income,2025-03-08,paid,
1,Service Payment,212.38,income,2025-09-23,paid,
1,Service Payment,921.34,income,2025-01-31,paid,
1,Service Payment,652.55,income,2025-02-25,paid,
1,Service Payment,197.64,income,2025-05-15,paid,
1,Operational Cost,301.00,expense,2025-02-23,paid,
1,Service Payment,619.93,income,2025-05-07,paid,
1,Operational Cost,676.69,expense,2025-04-17,paid,
1,Operational Cost,106.67,expense,2025-10-17,paid,
1,Operational Cost,1066.02,expense,2025-03-26,paid,
1,Service Payment,250.19,income,2025-05-06,paid,
1,Operational Cost,1096.42,expense,2025-03-03,paid,
1,Service Payment,255.30,income,2025-05-03,paid,
1,Operational Cost,594.34,expense,2025-09-21,paid,
1,Service Payment,835.74,income,2025-09-03,paid,
1,Service Payment,865.70,income,2025-03-29,paid,
1,Operational Cost,120.36,expense,2025-12-01,paid,
1,Service Payment,512.31,income,2025-04-12,paid,
1,Service Payment,630.78,income,2025-10-02,paid,
1,Operational Cost,131.37,expense,2025-03-30,paid,
1,Service Payment,242.28,income,2025-02-14,paid,
1,Service Payment,773.50,income,2025-02-16,paid,
1,Operational Cost,1029.91,expense,2025-02-03,paid,
1,Service Payment,307.61,income,2025-06-29,paid,
1,Service Payment,120.87,income,2025-05-27,paid,
1,Service Payment,1029.57,income,2025-08-24,paid,
1,Operational Cost,146.27,expense,2025-09-01,paid,
1,Service Payment,662.18,income,2025-04-08,paid,
1,Service Payment,660.54,income,2025-01-14,paid,
1,Service Payment,230.68,income,2025-11-10,paid,
1,Operational Cost,778.60,expense,2025-04-23,paid,
1,Operational Cost,1041.19,expense,2025-04-17,paid,
1,Service Payment,460.89,income,2025-05-25,paid,
1,Service Payment,1004.59,income,2025-04-23,paid,
1,Service Payment,297.06,income,2025-07-17,paid,
1,Service Payment,859.79,income,2025-07-28,paid,
1,Service Payment,345.80,income,2025-06-17,paid,
1,Service Payment,401.19,income,2025-06-03,paid,
1,Service Payment,935.03,income,2025-05-11,paid,
1,Operational Cost,302.51,expense,2025-04-20,paid,
1,Operational Cost,813.32,expense,2025-11-04,paid,
1,Service Payment,752.24,income,2025-03-26,paid,
1,Operational Cost,405.57,expense,2025-04-06,paid,
1,Service Payment,691.55,income,2025-09-03,paid,
1,Service Payment,825.51,income,2025-08-19,paid,
1,Service Payment,1000.96,income,2025-06-05,paid,
1,Operational Cost,231.68,expense,2025-05-01,paid,
1,Service Payment,496.51,income,2025-07-10,paid,
1,Operational Cost,512.12,expense,2025-03-14,paid,
1,Operational Cost,722.83,expense,2025-01-13,paid,
1,Service Payment,714.52,income,2025-09-19,paid,
1,Service Payment,463.41,income,2025-04-21,paid,
1,Operational Cost,225.38,expense,2025-03-21,paid,
1,Service Payment,157.39,income,2025-04-06,paid,
1,Service Payment,147.62,income,2025-06-11,paid,
1,Service Payment,570.60,income,2025-08-28,paid,
1,Operational Cost,414.86,expense,2025-05-03,paid,
1,Service Payment,701.62,income,2025-08-26,paid,
1,Service Payment,1042.23,income,2025-08-11,paid,
1,Service Payment,472.34,income,2025-09-09,paid,
1,Operational Cost,1086.42,expense,2025-09-26,paid,
1,Service Payment,902.78,income,2025-06-13,paid,
1,Service Payment,1033.83,income,2025-05-01,paid,
1,Service Payment,202.05,income,2025-04-05,paid,
1,Service Payment,790.94,income,2025-08-20,paid,
1,Operational Cost,593.14,expense,2025-12-08,paid,
1,Service Payment,766.42,income,2025-05-16,paid,
1,Operational Cost,451.80,expense,2025-09-10,paid,
1,Operational Cost,597.50,expense,2025-10-25,paid,
1,Service Payment,543.16,income,2025-09-21,paid,
1,Operational Cost,582.89,expense,2025-09-23,paid,
1,Operational Cost,1029.36,expense,2025-10-27,paid,
1,Service Payment,718.64,income,2025-08-30,paid,
1,Operational Cost,878.40,expense,2025-06-24,paid,
1,Operational Cost,1055.46,expense,2025-12-10,paid,
1,Service Payment,546.46,income,2025-03-19,paid,
1,Operational Cost,214.79,expense,2025-02-25,paid,
1,Service Payment,501.24,income,2025-10-12,paid,
1,Operational Cost,1067.20,expense,2025-12-08,paid,
1,Operational Cost,1055.44,expense,2025-11-26,paid,
1,Service Payment,366.89,income,2025-12-10,paid,
1,Operational Cost,1077.92,expense,2025-01-11,paid,
1,Service Payment,545.64,income,2025-02-28,paid,
1,Service Payment,996.83,income,2025-10-08,paid,
1,Operational Cost,138.55,expense,2025-08-10,paid,
1,Operational Cost,778.77,expense,2025-03-26,paid,
1,Operational Cost,1092.23,expense,2025-09-07,paid,
1,Service Payment,746.43,income,2025-02-16,paid,
1,Service Payment,1046.24,income,2025-07-17,paid,
1,Service Payment,158.95,income,2025-04-04,paid,
1,Service Payment,1085.59,income,2025-04-29,paid,
1,Service Payment,932.23,income,2025-07-15,paid,
1,Operational Cost,753.56,expense,2025-07-20,paid,
1,Service Payment,106.93,income,2025-11-20,paid,
1,Service Payment,696.33,income,2025-10-30,paid,
1,Operational Cost,605.03,expense,2025-02-14,paid,
1,Service Payment,204.46,income,2025-02-26,paid,
